,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
21,Pre-RFP,Tracked Opportunities,233253,FEMA INTEGRATED PUBLIC ALERT AND WARNING SYSTEM OPEN GOVCLOUD RECOMPETE (IPAWS),IPAWS,HOMELAND SECURITY,FEDERAL EMERGENCY MANAGEMENT AGENCY,70FA3124I00000008,"8,988","The Department of Homeland Security, Federal Emergency Management Agency, Office of the Administrator, Office of External Affairs has a requirement to provide IPAWS-OPEN application and cloud support; specifically in the areas of systems engineering and development, cloud infrastructure management (Infrastructure as a Service [IaaS]), Managed Services, and Operations and Maintenance (O&M) Sustainment services.",8988,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
22,Pre-RFP,Tracked Opportunities,211252,ON RAMP OPPORTUNITY NOAA COMMERCIAL WEATHER DATA PROGRAM RADIO OCCULTATION DATA BUY II (RODB 2),RODB 2,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NEEPFY24RODB2ONRAMP,"59,313","The Department of Commerce, National Oceanic and Atmospheric Administration (NOAA) has an On ramp requirement for near-real-time satellite-based RO data from commercial vendors.","59313, 59313","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2023,(Deltek Estimate),06/2024,08/31/2022
23,Pre-RFP,Tracked Opportunities,233614,TACTICAL C2 CLOUD BASED INFRASTRUCTURE,,AIR FORCE,US SPACE FORCE,RFI23SpRCO0024,TBD,"The US Space Force, Space Systems Command, Space Logistics Directorate has a requirement for Tactical C2 cloud-based infrastructure.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),07/2024,
24,Pre-RFP,Tracked Opportunities,238338,PILOT CANDIDATE SELECTION METHOD TEST OF BASIC AVIATION SKILLS SYSTEM SUPPORT SERVICES (PCSM)(TBAS),PCSM)(TBAS,AIR FORCE,OFFICE OF THE CHIEF OF STAFF OF THE AIR FORCE,FA300224R0005,TBD,"The Department of the Air Force, Office of the Chief of Staff of the Air Force, Deputy Chief of Staff for Manpower, Personnel and Services (A1), Air Force Personnel Center (AFPC) DP3DA, Accessions & Testing Branch has a requirement for Pilot Candidate Selection Method (PCSM) / Test of Basic Aviation Skills (TBAS) system support services.",,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),06/2024,
25,Forecast Pre-RFP,Tracked Opportunities,239006,EDISCOVERY LITIGATION SUPPORT HOSTED EVIDENCE MANAGEMENT SOLUTIONS,,LABOR,OFFICE OF THE SOLICITOR,,"9,350","The Department of Labor, Office of the Solicitor may have a continuing requirement for E-Discovery, Litigation Support, & Hosted Evidence Management Solutions.",9350,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2026,(Deltek Estimate),11/2026,
26,Forecast Pre-RFP,Tracked Opportunities,215171,LOAN LEVEL MORTGAGE ANALYTICS,,TREASURY,BUREAU OF THE FISCAL SERVICE,,"9,000","The Department of the Treasury, Bureau of the Public Debt, on behalf of the Office of Financial Research (OFR) and the Financial Stability Oversight Council (FSOC) may have a continuing requirement for Loan-Level Mortgage Data.",9000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
27,Forecast Pre-RFP,Tracked Opportunities,197279,MAINFRAME SERVICES,,LABOR,BUREAU OF LABOR STATISTICS,,"4,158","The Department of Labor, Bureau of Labor Statistics may have a continuing requirement for Mainframe Services.",4158,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
28,Pre-RFP,Tracked Opportunities,235663,RECORDS AND INFORMATION MANAGEMENT SUPPORT (RIM),RIM,TREASURY,BUREAU OF ENGRAVING AND PRINTING,BEPITRFI240006,TBD,"The U.S. Department of Treasury, Bureau of Engraving and Printing (BEP) has a requirement for Records and Information Management (RIM) Support.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
29,Forecast Pre-RFP,Tracked Opportunities,223106,FINANCIAL PERFORMANCE MANAGEMENT CONTROLS COMPLIANCE SOLUTION,,JUSTICE,JUSTICE MANAGEMENT DIVISION,,"7,591","The Department of Justice (DOJ), Justice Management Division (JMD) Finance Staff (FS) may have a continuing requirement for financial and performance management and controls compliance solution.",7591,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2025,(Deltek Estimate),07/2025,
30,Source Selection,Tracked Opportunities,196807,DISA JOINT STAFF SUPPORT CENTER INTEGRATED INFORMATION MANAGEMENT SYSTEM INFORMATION TECHNOLOGY SUPPORT SERVICES (JSSC)(IIMS-ITSS),JSSC)(IIMS-ITSS,DEFENSE,DEFENSE INFORMATION SYSTEMS AGENCY,622369826,"100,000","The Department of Defense (DoD), Defense Information Systems Agency (DISA), has a continuing requirement for Integrated Information Management System (IIMS) Information Technology Support Services for the Joint Staff Support Center (JSSC).",66536,541513 - Computer Facilities Management Services,,06/2023,(Deltek Estimate),02/2024,07/17/2023
31,Pre-RFP,Tracked Opportunities,214059,INFORMATION TECHNOLOGY SUPPORT FOR CLASSIFIED SERVICES IN SUPPORT OF THE F35 LIGHTNING II JOINT PROGRAM OFFICE,,NAVY,NAVAL AIR SYSTEMS COMMAND,N0001923CLASSIT,"8,841","The Department of the Navy, Naval Air Systems Command, has a requirement for Information Technology Knowledge Base Service (KBS) for F-35 JPO.",8841,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),09/2024,
32,Pre-RFP,Tracked Opportunities,190798,WEB CONTENT MANAGEMENT SERVICES,,LABOR,EMPLOYMENT AND TRAINING ADMINISTRATION,,"32,018","The U.S. Department of Labor, Employment and Training Administration (ETA), Office of Information Systems and Technology (OIST) has a continuing requirement for Web Content Management Services.",32018,541513 - Computer Facilities Management Services,,02/2024,(Deltek Estimate),05/2024,
33,Pre-RFP,Tracked Opportunities,238437,TECHNOLOGY TRANSFER DATABASE AND DOCUMENT MANAGEMENT SYSTEM,,COMMERCE,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,NISTAMDFTPOSSN2412,TBD,"The US Department of Commerce, National Institute of Standards and Technology has a requirement for contract to provide Technology Transfer Database and Document Management System.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
34,Pre-RFP,Tracked Opportunities,217599,INSTALLATION STATUS REPORT SUPPORT SERVICES (ISR),ISR,ARMY,ARMY MATERIEL COMMAND,W9124J23RISRR,"25,984","The Department of the Army, Army Installation Management Command (IMCOM), Office of the Assistant Chief of Staff for Installation Management (OACSIM), has a requirement for procurement of functional assistance, technical assistance and programming support, including Installation Status Report (ISR) Support Services.",23582,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),06/2024,
35,Pre-RFP,Tracked Opportunities,236164,FAA SYSTEMS APPLICATIONS AND PRODUCTS HR SYSTEMS SUPPORT SERVICES AND ENTERPRISE ARCHITECTURE SUPPORT (SAP),SAP,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,eLMS01,"30,842","The Department of Transportation, Federal Aviation Administration, has a requirement for modernizing the FAA's existing SAP SuccessFactors-HR system capabilities.",30842,"611430 - Professional and Management Development Training, 541330 - Engineering Services, 541511 - Custom Computer Programming Services, 541512 - Computer Systems Design Services, 541513 - Computer Facilities Management Services, 541519 - Other Computer Related Services, 541611 - Administrative Management and General Management Consulting Services, 541612 - Human Resources Consulting Services, 611420 - Computer Training, 611710 - Educational Support Services",,03/2024,(Deltek Estimate),04/2024,
36,Pre-RFP,Tracked Opportunities,172161,MISSILE DEFENSE AGENCY INTEGRATION AND OPERATIONS FOR ENTERPRISE SOLUTIONS (MIOES),MIOES,DEFENSE,MISSILE DEFENSE AGENCY,HQ085722R0002,"4,600,000","The Department of Defense (DoD), Missile Defense Agency (MDA), has a requirement for Integration & Operations for Enterprise Solutions (MIOES).",4600000,"541715 - Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology), 518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541330 - Engineering Services, 541512 - Computer Systems Design Services, 541513 - Computer Facilities Management Services, 561210 - Facilities Support Services",,09/2024,(Deltek Estimate),08/2025,
37,Pre-RFP,Tracked Opportunities,167317,JOINT CYBER COMMAND CONTROL DEVELOPMENT AND IT SERVICES (JCC2),JCC2,AIR FORCE,AIR FORCE MATERIEL COMMAND,A028242,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Life Cycle Management Center, C3I/Networks Directorate, Cryptographic and Cyber System Division has a requirement for Joint Cyber C2 development and IT services.","16697, 95119, 36445, 25634, 52013, 16038, 48931, 19662","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services, 541330 - Engineering Services, 541511 - Custom Computer Programming Services, 541512 - Computer Systems Design Services, 541513 - Computer Facilities Management Services, 541519 - Other Computer Related Services",,05/2024,(Deltek Estimate),09/2024,
38,Forecast Pre-RFP,Tracked Opportunities,196390,ACCESS TO NATIONAL MARKET SHARE DATA FOR SURVEILLANCE OF SPECIFIC CONSUMER PACKAGE GOODS IN THE US MARKET,,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,,"4,900",The Department of Health and Human Services may have a continuing requirement for Risk Adjustment Suite of Systems.,4900,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
39,Pre-RFP,Tracked Opportunities,230794,USDA STRATUS PROGRAM POOL 1 HYPERSCALE CLOUD SERVICE PROVIDERS (CSP),CSP,AGRICULTURE,,12314423R0013,TBD,"The U.S. Department of Agriculture, Office of Associate Chief Information Officer (ACIO), Digital Infrastructure Services Center has a requirement for a suite of department-wide Cloud Basic Ordering Agreements (BOA) to obtain rapid access to hyperscale cloud service providers, cloud integration and development providers, and SaaS providers/resellers. This collection of BOAs, formally known as USDA STRATUS, will provide rapid access to cloud capabilities. Pool 1 is intended for Hyperscale Cloud Service Providers (CSP).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),05/2024,
40,Pre-RFP,Tracked Opportunities,228837,DATA DIODE SYSTEMS,,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA248723QA011,TBD,"The Department of the Air Force, Air Force Materiel Command, Air Force Test Center has a requirement for a cross domain solution (CDS) or data diode that transmits data from one security domain to another security domain and support.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),08/2024,08/15/2023
41,Pre-RFP,Tracked Opportunities,204415,ALTERNATIVE LITIGATION SUPPORT SYSTEM (ALSS),ALSS,TREASURY,OFFICE OF THE COMPTROLLER OF THE CURRENCY,2024ALSSDTP01,"7,698","The U.S. Department of the Treasury, Comptroller of the Currency's (OCC) has a continuing requirement for managed solution for a new, alternative litigation support system (ALSS) that provides software tools and managed services covering the Processing, Review, Analysis, and Production phases of the Electronic Discovery Reference Model (EDRM).",7698,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),07/2024,
42,Forecast Pre-RFP,Tracked Opportunities,222394,CISNET CONSORTIUM FOR CANCER SURVEILLANCE MODELING SUPPORT,,HEALTH AND HUMAN SERVICES,NATIONAL INSTITUTES OF HEALTH,,"3,000","The US Department of Health Human Services, National Institutes of Health, National Cancer Institute may have a continuing requirement for CISNET Consortium for Cancer Surveillance Modeling Support.",3000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2025,(Deltek Estimate),04/2026,
43,Pre-RFP,Tracked Opportunities,221934,AVIATION SAFETY KNOWLEDGE MANAGEMENT ENVIRONMENT PLATFORM COMPONENT (ASKME),ASKME,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,ASKMEPC01,TBD,"The Department of Transportation, Federal Aviation Administration, has a requirement for IT offerings for the FAA’s Aircraft Certification Service (AIR) organization.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),04/2024,
44,Pre-RFP,Tracked Opportunities,237823,TECHNOLOGY INFORMATION SERVICES (TIS),TIS,CONGRESS,GOVERNMENT ACCOUNTABILITY OFFICE,GAO,TBD,The Government Accountability Office has a requirement for Information Systems & Technology Services (ISTS).,,541513 - Computer Facilities Management Services,,04/2024,(Deltek Estimate),07/2024,
45,Pre-RFP,Tracked Opportunities,238382,USDA SECURE ENCLAVE SERVICES,,AGRICULTURE,NATIONAL AGRICULTURAL STATISTICS SERVICE,1232SA24X,TBD,"The United States Department of Agriculture (USDA) statistical agencies and units, Economic Research Service (ERS), National Agricultural Statistical Service (NASS), and Agricultural Plant Health Inspection Service (APHIS) has a requirement to procure data enclave services to serve as a secure computing and collaboration workspace. This workspace will be a highly controlled, secure space for both USDA employees and approved external users across the United States that allows them to conduct approved research and work with restricted-access datasets. This requirement will allow USDA the continuity to provide data users access to restricted-access data in a secure enclave environment.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),06/2024,
46,Pre-RFP,Tracked Opportunities,209088,DIGITAL INTEGRATION LAB (DIL),DIL,ARMY,"ASA ACQUISITION, LOGISTICS AND TECHNOLOGY",W900KK24R3000,"8,856","The Department of the Army, Program Executive Office for Simulation, Training, and Instrumentation (PEO STRI), Program Manager Integrated Training Environment (PM ITE), has a requirement for Digital Integration laboratory (DIL) contract support.",8856,541513 - Computer Facilities Management Services,,08/2024,(Deltek Estimate),05/2025,
47,Pre-RFP,Tracked Opportunities,210029,BIOLOGICS EFFECTIVENESS AND SAFETY INITIATIVE 3 DATA SOURCES FOR SURVEILLANCE OF BIOLOGICS (BEST),BEST,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,FDASSNCBER2023116031,"75,000","The US Department of Health and Human Services, Food and Drug Administration has a continuing requirement for Biologics Effectiveness and Safety (BEST) Initiative #3: Data Sources for Surveillance of Biologics.","0, 0, 0","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
48,Pre-RFP,Tracked Opportunities,237972,CONGRESSIONAL WEB HARVESTING HOSTING,,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,,88310324RFI0001,TBD,The National Archives and Records Administration has a requirement for Congressional Web Harvesting & Hosting.,,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),07/2024,
49,Forecast Pre-RFP,Tracked Opportunities,238666,TRAVEL DATA REPOSITORY (CTIM),CTIM,DEFENSE,OFFICE OF THE SECRETARY OF DEFENSE,,"16,503","The Department of Defense (DoD), Defense Human Resources Activity (DHRA), may have a requirement for Travel Data Repository (CTIM).",16503,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,12/2024,(Deltek Estimate),06/2025,
50,Forecast Pre-RFP,Tracked Opportunities,209803,NASA TECHNICAL STANDARDS SYSTEM (NTSS),NTSS,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,MARSHALL SPACE FLIGHT CENTER,,"7,014","The National Aeronautics and Space Administration (NASA), Marshall Space Flight Center (MSFC) may have a continuing requirement for NASA Technical Standards System (NTSS).","7014, 5277","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2024,(Deltek Estimate),08/2024,
51,Pre-RFP,Tracked Opportunities,233860,OPERATIONS AND MAINTENANCE SERVICES FOR INTEGRATED SECURITY SYSTEM (ISS),ISS,TREASURY,BUREAU OF ENGRAVING AND PRINTING,BEPITRFI230091,TBD,"The U.S. Department of Treasury, Bureau of Engraving and Printing (BEP) has a requirement for installation and maintenance services for all the security systems at BEP in Washington DC, Landover, Maryland and FT. Worth, TX.",,541513 - Computer Facilities Management Services,,02/2024,(Deltek Estimate),04/2024,
52,Forecast Pre-RFP,Tracked Opportunities,238616,CLOUD APPLICATION FOR SECURITY INFORMATION SYSTEM (SAAS)(MCCS),SAAS)(MCCS,MILLENNIUM CHALLENGE CORPORATION,,,535,"The Millennium Challenge Corporation (MCC) may have a continuing requirement for a Commercial-Off-The-Shelf (COTS) Security Information Management system that enables robust security case management functions to track personnel, asset tracking; customizable forms; customizable reports and allows users to collaborate by assigning security controls to modules.",535,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2027,(Deltek Estimate),06/2027,
53,Pre-RFP,Tracked Opportunities,231435,ACADIA II,,DEFENSE,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,HM047623R0014,"130,000","The Department of Defense (DoD), National Geospatial-Intelligence Agency (NGA) has a requirement for ACADIA II.",130000,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),06/2024,
